"Bill of Material for "
"On 26.07.2019 at 14:19:04"

"Comment","Pattern","Quantity","Components"

"???","","1","RT1",""
"0.1 uF","CHIP_C_0603","1","C12",""
"0.1uF","CHIP_C_0603","4","C9, C21, C22, C23",""
"0.22uF","CHIP_C_0805","1","C15",""
"0.25RF","CHIP_R_2512","2","R8, R11",""
"0","0R 0603","2","R1, R2",""
"100 nF","CHIP_C_0603","1","C8",""
"100nF","CHIP_C_0603","4","C1, C2, C3, C6",""
"100uF x 50V","Tantal - D","3","C14, C16, C19",""
"10K","CHIP_R_0603","4","R5, R6, R7, R10",""
"10MQ040(60)","DO214-AC","1","D2","Rectifier diode"
"10uF","CHIP_C_0603","1","C13",""
"120R","CHIP_R_1206","1","R9",""
"1uF*50V","CHIP_C_0805","1","C17",""
"1uF","CHIP_C_0603","1","C7",""
"22pF","CHIP_C_0603","4","C4, C5, C10, C11",""
"32.768 KHz","NX3215SA","1","Y1",""
"3K32F","CHIP_R_0603","1","R13",""
"4.7nF","CHIP_C_0603","1","C20",""
"4K7","CHIP_R_0603","2","R3, R4",""
"5K6F","CHIP_R_0603","1","R12",""
"68uF x 50V","TANTAL - E","1","C18",""
"A4954","","1","U4","DMOS PWM Motor Driver"
"AS5600","SOIC8","1","U2","program magnetic rotary position  sensor"
"BLM18PG601SH1","CHIP_R_0603","2","L1, L3",""
"CDRH74NP-121MC-B","CDRH74","1","L2",""
"CG0603MLC-05E","CG0603MLC-05E","2","D3, D4",""
"CUI UJ2-MIBH2-4-SMT-TR","UJ2-MIBH2-4-SMT","1","J5","Micro USB connector"
"CWF-2","CWF-2","1","J4",""
"CWF-4","CWF-4","2","J1, J3",""
"IRLML6402","SOT23","1","Q1","p-chanal MOSFET"
"KX-K 16 MHZ","CHIP_CRYSTAL_5032","1","Y2",""
"LM2594M-ADJ","SOIC8","1","U6",""
"MCP2515","SOIC18","1","U5",""
"MF-MSMF050-2","SMDC014F-2","1","F1",""
"MF-MSMF110","SMDC014F-2","1","F2",""
"PLS-2","PLS-2","1","JP1",""
"PLS-5","PLS-5","1","J2",""
"SAMD21G18A-AUT","QFN48","1","U1",""
"SM6T18A","DO-214AA","1","D7",""
"SN65HVD230D","SOIC8","1","U3",""
"US-1G","DO214-AC","2","D1, D5",""
"VS-30BQ060","DO-214AB","1","D6","Schottky 3.0A"
