"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"U1","LQFP48","11.1mm","15.35mm","11.1mm","15.35mm","12.0192mm","10.5417mm","T","135.00","SAMD21G18A-AUT"
"J3","MicroUSB-mc-258","2.7875mm","26.35mm","4.125mm","26.35mm","4.125mm","27.65mm","T","0.00","CUI UJ2-MIBH2-4-SMT-TR"
"J2","PLS-4","12.02mm","2.05mm","8.21mm","2.05mm","8.21mm","2.05mm","T","360.00","PLS-4"
"C1","CHIP_C_0603","6.4mm","8.35mm","6.4mm","8.35mm","5.7636mm","7.7136mm","T","45.00","0.1uF"
"C2","CHIP_C_0603","5.2mm","9.5mm","5.2mm","9.5mm","5.8364mm","10.1364mm","T","225.00","1uF"
"C3","CHIP_C_0603","2.85mm","11.9mm","2.85mm","11.9mm","3.4864mm","12.5364mm","T","225.00","0.1uF"
"L3","CHIP_R_0603","1.45mm","19.3mm","1.45mm","19.3mm","1.45mm","20.2mm","T","270.00","BLM18PG471SN1D"
"C5","CHIP_C_0603","3.65mm","18.25mm","3.65mm","18.25mm","3.0136mm","17.6136mm","T","45.00","0.1uF"
"D1","CHIP_D_0603","8.7mm","30.2mm","8.7mm","30.2mm","8.7mm","29.45mm","T","90.00","BL-HUE33-AV"
"D4","CHIP_D_0603","33.95mm","16.8mm","33.95mm","16.8mm","33.2mm","16.8mm","T","360.00","BL-HUE33-AV"
"C18","Tantal_-_B","32.07mm","19.4mm","33.4mm","19.4mm","32.07mm","19.4mm","T","360.00","100uF x 10V"
"J1","PLS-2","35.15mm","12.37mm","35.15mm","11.1mm","35.15mm","11.1mm","T","90.00","PLS-2"
"C13","CHIP_C_0603","22.65mm","16.1mm","22.65mm","16.1mm","21.75mm","16.1mm","T","360.00","0.1uF"
"C12","CHIP_C_0603","22.6mm","17.75mm","22.6mm","17.75mm","21.7mm","17.75mm","T","360.00","0.1uF"
"C9","CHIP_C_0603","16.65mm","19.9mm","16.65mm","19.9mm","17.2864mm","19.2636mm","T","135.00","0.1uF"
"C21","CHIP_C_0603","18.3mm","26.05mm","18.3mm","26.05mm","17.4mm","26.05mm","T","360.00","0.1uF"
"GND","TestPoint","22.6mm","28.1mm","22.6mm","28.1mm","22.6mm","28.1mm","T","90.00","TestPoint"
"J4","CWF-4R","19.06mm","35mm","22.81mm","35mm","22.81mm","35mm","T","180.00","CWF-4"
"D3","DO214-AC","35.75mm","25.9mm","35.75mm","25.9mm","35.75mm","27.865mm","T","90.00","10MQ040(60)"
"C16","CHIP_C_0805","30.25mm","35.1mm","30.25mm","35.1mm","30.25mm","36.1mm","T","270.00","1uF"
"C17","TANTAL_-_C","27.2mm","30.9mm","27.2mm","33.5mm","27.2mm","30.9mm","T","90.00","68uF x 16V"
"U7","QFN20","13.3mm","28.915mm","13.3mm","28.915mm","14.3mm","30.88mm","T","270.00","MCP2515"
"12V","TestPoint","30.1mm","2.95mm","30.1mm","2.95mm","30.1mm","2.95mm","T","0.00","TestPoint"
"3V3","TestPoint","22.65mm","26mm","22.65mm","26mm","22.65mm","26mm","T","90.00","TestPoint"
"U2","SOT23","17mm","5.05mm","17mm","4.9mm","16.05mm","6.1mm","B","270.00","TC1047"
"2","LAMEL","24.5mm","1.7mm","24.5254mm","1.6746mm","24.5mm","1.7mm","T","0.00","Lamel"
"3","LAMEL","22.55mm","1.7mm","22.5754mm","1.6746mm","22.55mm","1.7mm","T","0.00","Lamel"
"4","LAMEL","20.55mm","1.7mm","20.5754mm","1.6746mm","20.55mm","1.7mm","T","0.00","Lamel"
"1","LAMEL","26.5mm","1.7mm","26.4746mm","1.6754mm","26.5mm","1.7mm","T","180.00","Lamel"
"R13","CHIP_R_0603","33.5419mm","23.906mm","33.5419mm","23.906mm","33.5419mm","23.006mm","B","90.00","3K32F"
"R11","CHIP_R_0603","30.2399mm","23.906mm","30.2399mm","23.906mm","30.2399mm","24.806mm","B","270.00","5K6F"
"R9","CHIP_R_1206","19.8mm","5mm","19.8mm","5mm","19.8mm","3.55mm","B","90.00",".15RF"
"R8","CHIP_R_1206","26.8mm","5mm","26.8mm","5mm","26.8mm","3.55mm","B","90.00",".15RF"
"R2","CHIP_R_0603","34.5mm","20.05mm","34.5mm","20.05mm","33.6mm","20.05mm","B","360.00","10K"
"R1","CHIP_R_0603","4mm","10.7mm","4mm","10.7mm","4.6364mm","11.3364mm","T","225.00","10K"
"L2","CDRH74","30.4mm","25.65mm","30.4mm","25.65mm","30.4mm","22.45mm","T","90.00","CDRH74"
"F2","1206Lxxx","26.15mm","35mm","26.15mm","35mm","24.75mm","35mm","B","360.00","1206L200"
"D5","DO214-AC","30.1mm","34.15mm","30.1mm","34.15mm","30.1mm","36.115mm","B","90.00","US-1G"
"C22","CHIP_C_0603","18.81mm","25.05mm","18.81mm","25.05mm","19.71mm","25.05mm","B","180.00","0.1uF"
"C20","CHIP_C_0603","28.5889mm","23.906mm","28.5889mm","23.906mm","28.5889mm","24.806mm","B","270.00","0.1uF"
"C19","CHIP_C_0603","31.8909mm","23.906mm","31.8909mm","23.906mm","31.8909mm","23.006mm","B","90.00","4.7nF"
"C11","CHIP_C_0603","25.3659mm","19mm","25.3659mm","19mm","25.3659mm","18.1mm","B","90.00","10uF"
"C23","CHIP_C_0603","14.35mm","32.35mm","14.35mm","32.35mm","13.45mm","32.35mm","B","360.00","0.1uF"
"C25","CHIP_C_0603","8.9mm","23.15mm","8.9mm","23.15mm","8mm","23.15mm","B","360.00","22pF"
"C24","CHIP_C_0603","9.25mm","31.55mm","9.25mm","31.55mm","8.35mm","31.55mm","B","360.00","22pF"
"C10","CHIP_C_0603","23.6999mm","19mm","23.6999mm","19mm","23.6999mm","18.1mm","B","90.00","0.1uF"
"Y2","CHIP_CRYSTAL_5032","7.8mm","27.35mm","7.8mm","27.35mm","7.8mm","29.2mm","B","270.00","KX-K 16 MHZ"
"Y1","NX3215SA","11.2mm","7.4mm","11.2mm","7.4mm","12.45mm","7.4mm","T","180.00","NX3215SA-32.768K-STD-MUA-8"
"U3","SOIC8","18.9999mm","19mm","18.9999mm","19mm","21.6999mm","20.905mm","B","180.00","AS5600"
"R14","CHIP_R_0603","18.295mm","27.7619mm","18.295mm","27.7619mm","17.395mm","27.7619mm","T","360.00","10K"
"R15","CHIP_R_1206","9.76mm","36.15mm","9.76mm","36.15mm","11.21mm","36.15mm","B","180.00","120R"
"R5","CHIP_R_0603","14.35mm","20.65mm","14.35mm","20.65mm","14.35mm","19.75mm","B","90.00","4K7"
"R4","0R_0603_selector","20.3mm","22.55mm","20.35mm","22.55mm","22.05mm","22.55mm","B","180.00","0R"
"Q1","SOT23","34.5mm","17.1mm","34.5mm","16.95mm","33.55mm","18.15mm","B","270.00","IRLML2402"
"L1","CHIP_R_0603","17.6mm","10mm","17.6mm","10mm","18.2364mm","9.3636mm","T","135.00","BLM18PG471SN1D"
"JP1","PLS-2R","9.58mm","34.05mm","8.31mm","34.05mm","8.31mm","34.05mm","T","360.00","PLS-2R"
"R3","CHIP_R_0603","8.7mm","27.2mm","8.7mm","27.2mm","8.7mm","26.3mm","T","90.00","1K"
"R10","CHIP_R_0603","22.65mm","14.45mm","22.65mm","14.45mm","21.75mm","14.45mm","T","360.00","0R"
"R7","CHIP_R_0603","22.65mm","19.4mm","22.65mm","19.4mm","21.75mm","19.4mm","T","360.00","0R"
"R12","CHIP_R_0603","30mm","16.8mm","30.9mm","16.8mm","30mm","16.8mm","T","180.00","1K"
